"№","Авторы","Название","Год","Название источника","Организации","Авторы организаций","Сведения о финансировании","Текст о финансировании 1","Текст о финансировании 2","ISSN","Тип документа","EID","Квартили","SJR","Тематики"
"1","Shakhnov V.A., Verstov V., Zinchenko L.A., Sorokin B.","Evolutionary antenna design for intelligent systems networks","2015","2015 IEEE International Conference on Evolving and Adaptive Intelligent Systems, EAIS 2015","Department of Design and Technology of Electronic Devices, Bauman Moscow State Technical University, Moscow, Russian Federation; Faculty of Physics, Lomonosov Moscow State University, Moscow, Russian Federation","Shakhnov, V.A., Department of Design and Technology of Electronic Devices, Bauman Moscow State Technical University, Moscow, Russian Federation; Verstov, V., Department of Design and Technology of Electronic Devices, Bauman Moscow State Technical University, Moscow, Russian Federation; Zinchenko, L.A., Department of Design and Technology of Electronic Devices, Bauman Moscow State Technical University, Moscow, Russian Federation; Sorokin, B., Faculty of Physics, Lomonosov Moscow State University, Moscow, Russian Federation","","","","","Conference Paper","2-s2.0-84964037899","0","","2210; 2211; 3104; 2500; 1600;"
"2","Dvoretskiy D.A., Lazarev V.A., Voropaev V.S., Rodnova Z.N., Sazonkin S.G., Leonov S.O., Pnev A.B., Karasik V.E., Krylov A.A.","High-energy, sub-100 fs, all-fiber stretched-pulse mode-locked Er-doped ring laser with a highly-nonlinear resonator","2015","Optics Express","Bauman Moscow State Technical University, Moscow, Russian Federation; Yaroslav-the-Wise Novgorod State University, Velikiy Novgorod, Russian Federation; Fiber Optics Research Center of Russian Academy of Sciences, Moscow, Russian Federation","Dvoretskiy, D.A., Bauman Moscow State Technical University, Moscow, Russian Federation; Lazarev, V.A., Bauman Moscow State Technical University, Moscow, Russian Federation, Yaroslav-the-Wise Novgorod State University, Velikiy Novgorod, Russian Federation; Voropaev, V.S., Bauman Moscow State Technical University, Moscow, Russian Federation; Rodnova, Z.N., Bauman Moscow State Technical University, Moscow, Russian Federation; Sazonkin, S.G., Bauman Moscow State Technical University, Moscow, Russian Federation; Leonov, S.O., Bauman Moscow State Technical University, Moscow, Russian Federation; Pnev, A.B., Bauman Moscow State Technical University, Moscow, Russian Federation; Karasik, V.E., Bauman Moscow State Technical University, Moscow, Russian Federation; Krylov, A.A., Fiber Optics Research Center of Russian Academy of Sciences, Moscow, Russian Federation","","","","10944087","Article","2-s2.0-84962076522","Q1","1.519","3107;"
"3","Zhuravlev A., Razevig V., Ivashov S., Bugaev A., Chizh M.","Experimental comparison of multi-static and mono-static antenna arrays for subsurface radar imaging","2015","2015 IEEE International Conference on Microwaves, Communications, Antennas and Electronic Systems, COMCAS 2015","Remote Sensing Laboratory, Bauman Moscow State Technical University, Moscow, Russian Federation","Zhuravlev, A., Remote Sensing Laboratory, Bauman Moscow State Technical University, Moscow, Russian Federation; Razevig, V., Remote Sensing Laboratory, Bauman Moscow State Technical University, Moscow, Russian Federation; Ivashov, S., Remote Sensing Laboratory, Bauman Moscow State Technical University, Moscow, Russian Federation; Bugaev, A., Remote Sensing Laboratory, Bauman Moscow State Technical University, Moscow, Russian Federation; Chizh, M., Remote Sensing Laboratory, Bauman Moscow State Technical University, Moscow, Russian Federation","","","","","Conference Paper","2-s2.0-84962778734","0","","2210; 2211; 3104; 2500; 1600;"
"4","Anishchenko L., Gaysina E.","Comparison of 4 GHz and 14 GHz SFCW radars in measuring of small laboratory animals vital signs","2015","2015 IEEE International Conference on Microwaves, Communications, Antennas and Electronic Systems, COMCAS 2015","Remote Sensing Laboratory, Bauman Moscow State Technical University, 5, 2nd Baumanskaya str, Moscow, Russian Federation; Biomedical Engineering Department, Bauman Moscow State Technical University, 5, 2nd Baumanskaya str, Moscow, Russian Federation","Anishchenko, L., Remote Sensing Laboratory, Bauman Moscow State Technical University, 5, 2nd Baumanskaya str, Moscow, Russian Federation, Biomedical Engineering Department, Bauman Moscow State Technical University, 5, 2nd Baumanskaya str, Moscow, Russian Federation; Gaysina, E., Biomedical Engineering Department, Bauman Moscow State Technical University, 5, 2nd Baumanskaya str, Moscow, Russian Federation","","","","","Conference Paper","2-s2.0-84962654962","0","","2210; 2211; 3104; 2500; 1600;"
"5","Anishchenko L.","Empirical mode decomposition algorithm for bioradar data analysis","2015","2015 IEEE International Conference on Microwaves, Communications, Antennas and Electronic Systems, COMCAS 2015","Remote Sensing Laboratory, Moscow State Technical University, 5, 2d Baumanskaya str, Moscow, Russian Federation","Anishchenko, L., Remote Sensing Laboratory, Moscow State Technical University, 5, 2d Baumanskaya str, Moscow, Russian Federation","","","","","Conference Paper","2-s2.0-84962724034","0","","2210; 2211; 3104; 2500; 1600;"
"6","Zhuravlev A., Razevig V., Ivashov S., Bugaev A., Chizh M.","Microwave imaging of moving subjects by combined use of video-tracker and multi-static radar","2015","2015 IEEE International Conference on Microwaves, Communications, Antennas and Electronic Systems, COMCAS 2015","Remote Sensing Laboratory, Bauman Moscow State Technical University, Moscow, Russian Federation","Zhuravlev, A., Remote Sensing Laboratory, Bauman Moscow State Technical University, Moscow, Russian Federation; Razevig, V., Remote Sensing Laboratory, Bauman Moscow State Technical University, Moscow, Russian Federation; Ivashov, S., Remote Sensing Laboratory, Bauman Moscow State Technical University, Moscow, Russian Federation; Bugaev, A., Remote Sensing Laboratory, Bauman Moscow State Technical University, Moscow, Russian Federation; Chizh, M., Remote Sensing Laboratory, Bauman Moscow State Technical University, Moscow, Russian Federation","","","","","Conference Paper","2-s2.0-84962683752","0","","2210; 2211; 3104; 2500; 1600;"
"7","Zhuravlev A., Razevig V., Ivashov S., Bugaev A., Chizh M.","Experimental simulation of multi-static radar with a pair of separated movable antennas","2015","2015 IEEE International Conference on Microwaves, Communications, Antennas and Electronic Systems, COMCAS 2015","Remote Sensing Laboratory, Bauman Moscow State Technical University, Moscow, Russian Federation","Zhuravlev, A., Remote Sensing Laboratory, Bauman Moscow State Technical University, Moscow, Russian Federation; Razevig, V., Remote Sensing Laboratory, Bauman Moscow State Technical University, Moscow, Russian Federation; Ivashov, S., Remote Sensing Laboratory, Bauman Moscow State Technical University, Moscow, Russian Federation; Bugaev, A., Remote Sensing Laboratory, Bauman Moscow State Technical University, Moscow, Russian Federation; Chizh, M., Remote Sensing Laboratory, Bauman Moscow State Technical University, Moscow, Russian Federation","","","","","Conference Paper","2-s2.0-84962682010","0","","2210; 2211; 3104; 2500; 1600;"
"8","Churkin S., Anishchenko L.","Millimeter-wave radar for vital signs monitoring","2015","2015 IEEE International Conference on Microwaves, Communications, Antennas and Electronic Systems, COMCAS 2015","Department of Radiophysics, Lobachevsky State University of Nizhni Novgorod, 23 Prospect, Gagarina, Nizhni Novgorod, Russian Federation; Remote Sensing Laboratory, Bauman, Moscow State Technical University, 52nd Baumanskaya str, Moscow, Russian Federation","Churkin, S., Department of Radiophysics, Lobachevsky State University of Nizhni Novgorod, 23 Prospect, Gagarina, Nizhni Novgorod, Russian Federation; Anishchenko, L., Remote Sensing Laboratory, Bauman, Moscow State Technical University, 52nd Baumanskaya str, Moscow, Russian Federation","","","","","Conference Paper","2-s2.0-84962631744","0","","2210; 2211; 3104; 2500; 1600;"
"9","Ivashov S.I., Razevig V.V., Bechtel T.D., Vasiliev I.A., Capineri L., Zhuravlev A.V.","Microwave holography for NDT of dielectric structures","2015","2015 IEEE International Conference on Microwaves, Communications, Antennas and Electronic Systems, COMCAS 2015","Bauman Moscow State Technical University, 2nd Baumanskaya st. 5, Moscow, Russian Federation; Franklin and Marshall College, Lancaster, PA, United States; University of Florence, Via Santa Marta 3, Florence, Italy","Ivashov, S.I., Bauman Moscow State Technical University, 2nd Baumanskaya st. 5, Moscow, Russian Federation; Razevig, V.V., Bauman Moscow State Technical University, 2nd Baumanskaya st. 5, Moscow, Russian Federation; Bechtel, T.D., Franklin and Marshall College, Lancaster, PA, United States; Vasiliev, I.A., Bauman Moscow State Technical University, 2nd Baumanskaya st. 5, Moscow, Russian Federation; Capineri, L., University of Florence, Via Santa Marta 3, Florence, Italy; Zhuravlev, A.V., Bauman Moscow State Technical University, 2nd Baumanskaya st. 5, Moscow, Russian Federation","","","","","Conference Paper","2-s2.0-84962780395","0","","2210; 2211; 3104; 2500; 1600;"
"10","Ryzhii M., Ryzhii V., Otsuji T., Shur M.S.","Vertical hot-electron graphene-base transistors as resonant plasmonic terahertz detectors","2015","2015 IEEE International Conference on Microwaves, Communications, Antennas and Electronic Systems, COMCAS 2015","Department of Computer Science and Engineering, University of Aizu, Aizu-Wakamatsu, Japan; Research Institute of Electrical Communication, Tohoku University, Sendai, Japan; Center for Photonics and Infrared Engineering, Bauman Moscow State Technical University, Moscow, Russian Federation; Institute of Ultra High Frequency Semiconductor Electronics of RAS, Moscow, Russian Federation; Department of Electrical, Computeraor and System Engineering and Physics, Applied Physics, and Astronomy, Rensselaer Polytechnic Institute, Troy, NY, United States","Ryzhii, M., Department of Computer Science and Engineering, University of Aizu, Aizu-Wakamatsu, Japan; Ryzhii, V., Research Institute of Electrical Communication, Tohoku University, Sendai, Japan, Center for Photonics and Infrared Engineering, Bauman Moscow State Technical University, Moscow, Russian Federation, Institute of Ultra High Frequency Semiconductor Electronics of RAS, Moscow, Russian Federation; Otsuji, T., Research Institute of Electrical Communication, Tohoku University, Sendai, Japan; Shur, M.S., Department of Electrical, Computeraor and System Engineering and Physics, Applied Physics, and Astronomy, Rensselaer Polytechnic Institute, Troy, NY, United States","","","","","Conference Paper","2-s2.0-84962712966","0","","2210; 2211; 3104; 2500; 1600;"
