x,y,id
-12022,22693,Dvoretskiy D.A.
-12350,19956,Lazarev V.A.
-12632,22321,Voropaev V.S.
-12521,21873,Rodnova Z.N.
-12877,23521,Sazonkin S.G.
-11507,19944,Leonov S.O.
-10927,22888,Pnev A.B.
-13977,21625,Karasik V.E.
-13425,23074,Krylov A.A.
-17371,72340,Ksenofontov B.S.
-16947,70581,Antonova E.S.
-16760,69418,Ivanov M.V.
-17642,70817,Kozodaev A.S.
-16666,71175,Taranov R.A.
5558,-69216,Akhiyarov V.V.
5755,-70147,Borzov A.B.
5174,-69785,Suchkov V.B.
6675,-68492,Shakhtarin B.I.
5013,-68850,Sidorkina Y.A.
-77431,2444,Komkov M.A.
-78195,1168,Moiseev V.A.
-75940,1493,Tarasov V.A.
-77421,1358,Timofeev M.P.
-61469,6585,Alimov A.I.
-61449,7045,Evsukov S.A.
-62130,7201,Kolesnikov V.V.
-62289,6493,Nebogov S.M.
-11242,35527,Anishchenko L.
-11008,37103,Gennarelli G.
-10336,36762,Tataraidze A.
-11095,36770,Gaysina E.
-11523,37847,Soldovieri F.
-11856,36406,Ivashov S.
-3488,-56164,Grishin Y.A.
-4222,-57036,Bakulin V.N.
-49854,41351,Tazetdinov R.G.
-50501,41478,Fetisov G.P.
-49825,40518,Pomel’nikova A.S.
-49165,41416,Komshina A.V.
-42190,23588,Berezin A.V.
-42739,23510,Kuftov A.F.
-42532,24025,Shkurikhin I.B.
22055,113,Vinogrado V.V.
22139,492,Shakurov A.G.
21415,469,Tyazhel’nikova I.L.
21771,888,Vinogradova E.P.
21557,-79,Esenbekov V.S.
6679,-23995,Zimin A.M.
4788,-23097,Krupin V.A.
5752,-22605,Troynov V.I.
4131,-23075,Klyuchnikov L.A.
45645,26362,Borovskii G.V.
45211,25991,Shavva M.A.
45589,25577,Zakharevich E.M.
46177,26010,Grubyi S.V.
45252,26393,Maslov A.R.
-48975,40233,Shipko M.N.
-49025,40639,Korovushkin V.V.
-55357,38912,Ege N.
-55868,39295,Erbaş B.
-56482,38764,Prikazchikov D.A.
-18549,-47911,Gouskov A.M.
-20707,-48421,Voronov S.A.
-19937,-49098,Ivanov I.I.
-19948,-48180,Kiselev I.A.
-20046,-47640,Novikov V.V.
-18131,24732,Afonin V.L.
-16727,25083,Baryshnikov N.V.
-17087,24126,Zhivotovsky I.V.
-17776,24199,Kachalov V.V.
-18138,24324,Kurilovich A.V.
-17775,24895,Mendeleev V.Y.
-17854,24531,Sukhorukov R.Y.
-17536,24599,Utyashev F.Z.
-17294,29868,Ryzhii V.
-15114,29138,Otsuji T.
-15050,30701,Ryzhii M.
-17916,28066,Mitin V.
-16324,27384,Shur M.S.
-65863,-51423,Drakon A.V.
-66460,-52269,Emelianov A.V.
-66460,-50373,Eremin A.V.
-64963,-51095,Mikheyeva E.Yu.
32564,5236,Loktionov E.Y.
35405,5989,Pasechnikov N.A.
34701,5851,Pavlov A.V.
35682,4957,Protasov Y.S.
35870,7079,Telekh V.D.
21936,70341,Timofeev G.A.
22206,69437,Kuzenkov V.V.
-9664,-42281,Pugachuk A.S.
-10275,-42648,Chernishev A.V.
10065,-79100,Chetverikov V.N.
-10637,-42038,Borisov Y.A.
47017,-19781,Bui V.T.
46611,-20675,Lapygin V.I.
18860,-11697,Zubkov N.N.
-17078,18998,Dolganova I.N.
-14649,15741,Zaytsev K.I.
-15694,19891,Metelkina A.A.
-12904,17321,Yurchenko S.O.
65571,91736,Ismagilov R.S.
-34427,-21183,Borodulin A.S.
-32549,-20679,Marycheva A.N.
-31357,-21705,Malysheva G.V.
18045,-103506,Zubov N.E.
17390,-100310,Mikrin E.A.
19562,-101942,Misrikhanov M.S.
15970,-102961,Ryabchenko V.N.
28954,-73431,Belov N.A.
30398,-73677,Naumova E.A.
30069,-72656,Akopyan T.K.
-68328,42783,Manturov V.O.
11585,-72408,Kanatnikov A.N.
8718,-74860,Krishchenko A.P.
-70263,43510,Kim S.
-20510,46367,Trapeznikov A.V.
-19982,46189,Goncharenko E.S.
-31834,31987,Kurenkov A.S.
-31665,32440,Sinev I.M.
-32117,32610,Gavrilov S.A.
-32286,32156,Shchedrin A.V.
-67860,44352,Nikonov I.M.
67828,57902,Ivanov A.S.
69580,57602,Smirnov N.I.
70068,58781,Murkin S.V.
51236,33886,Fursov A.S.
52362,34112,Khusainov E.F.
-66901,42303,Ilyutko D.P.
29022,20235,Basarab M.A.
29028,19432,Zakharyan R.A.
29373,19488,Kreisberg V.A.
30030,19283,Lunin B.S.
28418,18936,Matveev V.A.
8734,-67413,Trifonov A.P.
8022,-67672,Kurbatov A.V.
8290,-66827,Chernoyarov O.V.
63588,19601,Kuraposhin V.S.
63226,18478,Talis A.L.
63272,19893,Demina E.D.
62783,19483,Zaitsev A.I.
16424,-16878,Arbekov A.N.
18583,-17006,Varaksin A.Y.
17359,-17128,Inozemtsev A.A.
60193,5475,Zakharov M.N.
59128,5300,Morozov E.M.
59143,5775,Nasonov V.A.
63863,17724,Kondrat'ev S.Yu.
62448,17245,Kraposhin V.S.
64618,17966,Anastasiadi G.P.
-4809,25478,Ovseevich A.I.
-8271,24332,Fedorov A.K.
-67506,41925,Fedoseev D.A.
-68166,41200,Cheng Z.
-28990,21470,Kravchenko V.F.
-29477,18963,Kravchenko O.V.
-25839,20090,Pustovoit V.I.
-29759,20125,Churikov D.V.
